Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Kühl, Isabel",50 Sculptures You Should Know,Banned Pending Investigation,"Reichold, Klaus",,,Missouri,Wentzville School District,September 2022,Legislative Action,50 You Should Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Weidemann, Christiane",50 Women Artists You Should Know,Banned Pending Investigation,"Larass, Petra; Klier, Melanie",,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Art,Artists, biography,Beeldende kunstenaars,Biography,History,History and criticism,Kunst,Künstlerin,Vrouwen,Women artists"
San Francisco Writers' Grotto,642 Things to Write About,Banned in Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Creative writing,English language,Problems, exercises,Rhetoric"
"Trueman, Terry",7 Days at the Hot Corner,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baseball,Baseball, fiction,Best friends,Children's fiction,Fiction,Friendship,Friendship, fiction,Homosexuality,Homosexuality, fiction,Interpersonal relations,Interpersonal relations, fiction"
"Trueman, Terry",7 Days at the Hot Corner,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baseball,Baseball, fiction,Best friends,Children's fiction,Fiction,Friendship,Friendship, fiction,Homosexuality,Homosexuality, fiction,Interpersonal relations,Interpersonal relations, fiction"
"Merey, I.",A + E 4ever,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Jamiolkowski, Raymond",A Baby Doesn't Make the Man: Alternative Sources of Power and Manhood for Young Men,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned from Libraries and Classrooms,,,,Florida,Lake County Schools,Fall 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex"
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescence,Adolescence, fiction,Children's fiction,Fiction,High schools,Juvenile Fiction,Juvenile fiction,Man-woman relationships,Schools, fiction,Sex"
"Devore, Laurie",A Better Bad Idea,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Lin, Grace",A Big Mooncake for Little Star,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Cookies,Fiction,Food, fiction,Juvenile fiction,Moon, fiction,Pastry,Phases,Stars,Stars, fiction,collectionID:caldecotthonor10"
"Boelts, Maribeth",A Bike Like Sergio's,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Friendship, fiction,Picture books"
"Arnold, Elana K.",A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"McCarthy, Helen",A Brief History of Manga,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Daemicke, Songju Ma",A Case of Sense,Banned Pending Investigation,,"Bersani, Shennen",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avarice,Children's fiction,Fiction,Greed,Greed, fiction,Juvenile fiction,Wisdom"
"Whitcomb, Laura",A Certain Slant of Light,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Fiction,Forgiveness,Future life,Future life, fiction,Ghost stories,Ghosts,Ghosts, fiction,Juvenile fiction"
"Whitcomb, Laura",A Certain Slant of Light,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Fiction,Forgiveness,Future life,Future life, fiction,Ghost stories,Ghosts,Ghosts, fiction,Juvenile fiction"
"Pelzer, Dave","A Child Called ""It"": One Child's Courage to Survive",Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Pelzer, Dave","A Child Called ""It"": One Child's Courage to Survive",Banned from Libraries,,,,Michigan,Chippewa Valley Schools,January 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maccarone, Grace",A Child Was Born: A Christmas Story,Banned from Libraries and Classrooms,,"Williams, Sam",,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Stoddard, Sandol",A Child's First Bible,Banned from Libraries and Classrooms,,"Chen, Tony",,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bible,Bible stories,Bible, juvenile literature,English Bible stories"
"Williams, Karin",A Child's Story of Christmas,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christmas,Jesus christ, nativity,Jesus christ, nativity, juvenile literature,Juvenile literature,Nativity"
"Martin, George R. R.",A Clash of Kings,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,September 2022,Administration,A Song of Ice and Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Alchemy,Alquimia,American Fantasy fiction,American literature,Betrayal,Brothers,Civil war,Dragons,Dystopian,Epic,Fantasy,Fantasy - Epic,Fantasy - Series,Fantasy fiction,Ficción,Fiction,Fiction - Fantasy,Fiction / Fantasy / Epic,Fiction, fantasy, epic,Good and evil,Guerras imaginarias,Imaginary places,Imaginary wars and battles,Kings and rulers,Magic,New York Times bestseller,Novela,Refugees,Revenge,Reyes y soberanos,Romans, nouvelles,Science Fiction,Seven Kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Traición,Viajes,Voyages and travels,nyt:trade_fiction_paperback=2011-12-31"
"Martin, George R. R.",A Clash of Kings,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,A Song of Ice and Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Alchemy,Alquimia,American Fantasy fiction,American literature,Betrayal,Brothers,Civil war,Dragons,Dystopian,Epic,Fantasy,Fantasy - Epic,Fantasy - Series,Fantasy fiction,Ficción,Fiction,Fiction - Fantasy,Fiction / Fantasy / Epic,Fiction, fantasy, epic,Good and evil,Guerras imaginarias,Imaginary places,Imaginary wars and battles,Kings and rulers,Magic,New York Times bestseller,Novela,Refugees,Revenge,Reyes y soberanos,Romans, nouvelles,Science Fiction,Seven Kingdoms (Imaginary place),Seven kingdoms (imaginary place), fiction,Traición,Viajes,Voyages and travels,nyt:trade_fiction_paperback=2011-12-31"
"Lee, C. B.",A Clash of Steel: A Treasure Island Remix,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,Remixed Classics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hutchinson, Shaun David",A Complicated Love Story Set in Space,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's fiction
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Florida,School District of Hamilton County,March 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,August 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Pennsylvania,Penncrest School District,February 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
