Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Hartman, Bob",The Morning of the World,Banned from Libraries and Classrooms,,"McGuire, Michael",,Florida,Brevard Public Schools,June 2023,Informal Challenge,What Was It Like? Bible Stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bible,Bible stories,Creation,Juvenile literature,O.T.,Old Testament"
"Cohen, Caron Lee",The Mud Pony,Banned Pending Investigation,,"Begay, Shonto",,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bilingual books, spanish-english,Children's fiction,Folklore,Horses, fiction,Indians of North America,Indians of north america, pawnee indians, fiction,Juvenile literature,Legends,Pawnee (Indios),Pawnee Indians,Ponies,Ponies, fiction"
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Konigsberg, Bill",The Music of What Happens,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Konigsberg, Bill",The Music of What Happens,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Identity, fiction,Mothers and sons, fiction,Rape, fiction,collectionID:EanesChallenge"
"Ogaki, Philippe",The Mythics #1: Heroes Reborn,Banned Pending Investigation,"Lyfoung, Patricia; Sobral, Patrick","Picard, Alice; Jenny; Paillat, Magali; Duvivier, Valeriane",,Missouri,Wentzville School District,September 2022,Legislative Action,The Mythics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Addresses, essays, lectures,Computer programming,Computer programming management,Computer programming--management,Electronic digital computers,Gestion,Gestion projet,IBM 360,MULTICS,Management,Programmation (Informatique),Programming,Software engineering,Système exploitation 360,Technologie logiciel"
"Choi, Yangsook",The Name Jar,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Choi, Yangsook",The Name Jar,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Knowlton, Laurie",The Nativity: Mary Remembers,Banned from Libraries and Classrooms,"Kubiak, Kasi",,,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Gottfred, B. T.",The Nerdy and the Dirty,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,April 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Love,Love, fiction,Romance fiction,Self-acceptance,Self-acceptance, fiction,Sex,Sex, fiction,Young adult fiction"
"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Love,Love, fiction,Romance fiction,Self-acceptance,Self-acceptance, fiction,Sex,Sex, fiction,Young adult fiction"
"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Love,Love, fiction,Romance fiction,Self-acceptance,Self-acceptance, fiction,Sex,Sex, fiction,Young adult fiction"
"Gottfred, B. T.",The Nerdy and the Dirty,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Love,Love, fiction,Romance fiction,Self-acceptance,Self-acceptance, fiction,Sex,Sex, fiction,Young adult fiction"
"Gottfred, B. T.",The Nerdy and the Dirty,Banned Pending Investigation,,,,Florida,St. John's County School District,January 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Love,Love, fiction,Romance fiction,Self-acceptance,Self-acceptance, fiction,Sex,Sex, fiction,Young adult fiction"
Anonymous,The New American Bible,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Coogan, Michael D.",The New Oxford Annotated Bible with Apocrypha: New Revised Standard Version,Banned Pending Investigation,"Brettler, Marc Z.; Newsom, Carol",,,Pennsylvania,Penncrest School District,February 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bible, criticism, interpretation, etc."
"Eli, Adam",The New Queer Conscience,Banned in Libraries and Classrooms,,"Lukashevsky, Ashley",,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hiranandani, Veera",The Night Diary,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Diaries,Diaries, fiction,Families,Family life,Family life, fiction,Fiction,Hindus,History,India, fiction,JUVENILE FICTION / Social Themes / Emigration & Immigration,Juvenile fiction,Muslims,Muslims, fiction,Newbery Honor,Partition of India (1947) fast (OCoLC)fst01353944,Refugees,Refugees, fiction,age:max:12,age:min:10,award:Newbery_award,grade:max:7,grade:min:3,lexile:700,lexile_range:701-800"
"Munson, Sam",The November Criminals,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criminals, fiction,Drug dealers,Fiction,Fiction, mystery & detective, general,High school seniors,Investigation,Murder,New York Times reviewed,Teenage boys,Washington (d.c.), fiction"
"Reed, Amy",The Nowhere Girls,Banned from Libraries,,,,Utah,Alpine School District,November 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Florida,Flagler Schools,June 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,June 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries,,,,Florida,School District of Manatee County,July 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,Texas,Belton Independent School District,October 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,Spring 2023,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,Utah,Canyons School District,AY 2022-2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,Utah,Granite School District,October 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,Oregon,Canby Public School District,March 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adolescents,Amistad in adolescencia,Amitié chez l'adolescent,Children's fiction,Conduct of life,Conduct of life, fiction,Erotic stories,Families,Familles,Family life,Family life, fiction,Fiction,Friendship in adolescence,High schools,Histoires érotiques,Morale pratique,Novela,Oregon, fiction,Rape,Rape, fiction,Romans, nouvelles,Schools,Schools, fiction,Sex,Sex, fiction,Teenagers,Violación,Young adult fiction,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,Écoles,Écoles secondaires"
"Gaiman, Neil",The Ocean at the End of the Lane,Banned Pending Investigation,,,,Texas,Frisco Independent School District,October 2022,Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bien,Bien y mal,Boys,Coming of age,Early memories,English fiction,English literature,Esprits,Fantastische Literatur,Fantasy,Ficción,Fiction,Fiction, coming of age,Fiction, fantasy, general,Good and evil,Habiletés de survie,Horror tales,Horrorroman,Large print books,Large type books,Livres en gros caractères,Magia,Magic,Mal,Memoria,Memory,Muchachos,Mujeres,New York Times bestseller,New York Times reviewed,Novela,Premiers souvenirs,Retour au foyer,Romans, nouvelles,Secrets de famille,Sorcières,Souvenir,Souvenirs retrouvés,Supervivencia,Survival,Women,nyt:combined-print-and-e-book-fiction=2013-07-07"
"Colbert, Brandy",The Only Black Girls in Town,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoption, fiction,Children's fiction,Friendship, fiction,Homosexuality, fiction,Multiculturalism, fiction,Prejudices, fiction"
"Sones, Sonya",The Opposite of Innocent,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abused children,Children's fiction,Fiction,Friendship, fiction,Girls, fiction,Novels in verse,Sexually abused teenagers"
"Sones, Sonya",The Opposite of Innocent,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abused children,Children's fiction,Fiction,Friendship, fiction,Girls, fiction,Novels in verse,Sexually abused teenagers"
"Sones, Sonya",The Opposite of Innocent,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abused children,Children's fiction,Fiction,Friendship, fiction,Girls, fiction,Novels in verse,Sexually abused teenagers"
"Wood, Ashley",The Origami Artist's Bible,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hennessey, M. G.",The Other Boy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullying,Children's fiction,Families,Family, fiction,Fiction,LGBT,LGBTQ middle grade,Parents,Transgender people"
"Woodson, Jacqueline",The Other Side,Banned in Classrooms,,"Lewis, E.B.",,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20th Century,African American,African Americans,Children's fiction,Fiction,Friendship,Friendship, fiction,Historical,JUVENILE FICTION,Juvenile fiction,People & Places,Prejudice & Racism,Race relations,Race relations, fiction,Social Themes,Summer,Summer, fiction"
"Kiely, Brendan",The Other Talk: Reckoning with Our White Privilege,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Kiely, Brendan",The Other Talk: Reckoning with Our White Privilege,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Matharu, Taran",The Outcast,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,The Summoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Demonology,Demonology, fiction,Fantasy,Fantasy fiction,Fiction,Magic,Magic, fiction"
"Hinton, S. E.",The Outsiders,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alienation (Social psychology),Boys & men,Boys, fiction,Brothers,Brothers -- Fiction,Bullying,Bullying, fiction,Children's fiction,Determination (Personality trait),Détermination (Trait de personnalité),Families,Families -- Fiction,Familles,Family,Family life,Family life, fiction,Family, fiction,Fiction,Fiction in english,Friendship,Friendship -- Fiction,Frères,Gangs,Gangs -- Fiction,Gangs, fiction,Individuality,Individualité,Intimidation,Juvenile fiction,Large type books,Orphans,Orphans -- Fiction,Orphans, fiction,Readers,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Romans, nouvelles, etc. pour la jeunesse,Spanish language,Superheroes,Teen fiction,Teenagers,Violence -- Fiction,Young adult fiction,fiction classics,juvenile works,open_syllabus_project,violence"
"Flitcroft, Jean",The Pacific Giants,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,The Cryptid Files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Picoult, Jodi",The Pact: A Love Story,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Clarke, Cat",The Pants Project,Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,March 2023,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Families,Family life,Family life, fiction,Fiction,Gay parents,Juvenile fiction,Lesbian mothers,Middle schools,Schools,Schools, fiction,Transgender people,Uniforms"
"Clarke, Cat",The Pants Project,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Families,Family life,Family life, fiction,Fiction,Gay parents,Juvenile fiction,Lesbian mothers,Middle schools,Schools,Schools, fiction,Transgender people,Uniforms"
"Clarke, Cat",The Pants Project,Banned from Libraries,,,,Florida,The School District of Palm Beach County,July 2022,Legislative Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Families,Family life,Family life, fiction,Fiction,Gay parents,Juvenile fiction,Lesbian mothers,Middle schools,Schools,Schools, fiction,Transgender people,Uniforms"
"Higgs, Liz Curtis",The Parable of the Lily,Banned from Libraries and Classrooms,,"Munger, Nancy",,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"DePaola, Tomie",The Parables of Jesus,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bible stories,Bible stories, n.t.,Bible, juvenile literature,Children's fiction,Christian life, fiction,Good Samaritan (Parable),Jesus christ, parables,Jesus christ, parables, juvenile literature,Juvenile literature,N.T.,New Testament,Parables,Readers,Values, fiction"
"Johnson, Varian",The Parker Inheritance,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American girls,African Americans,African americans, fiction,Buried treasure,Buried treasure, fiction,Children's fiction,Detective and mystery stories,Fiction,Friendship,Friendship, fiction,Grandmothers,Grandparents, fiction,Juvenile fiction,Mothers and daughters,Mothers and daughters, fiction,Mystery and detective stories,South carolina, fiction,Treasure troves"
"Johnson, Varian",The Parker Inheritance,Banned in Classrooms,,,,North Carolina,Wilkes County School District,April 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African American girls,African Americans,African americans, fiction,Buried treasure,Buried treasure, fiction,Children's fiction,Detective and mystery stories,Fiction,Friendship,Friendship, fiction,Grandmothers,Grandparents, fiction,Juvenile fiction,Mothers and daughters,Mothers and daughters, fiction,Mystery and detective stories,South carolina, fiction,Treasure troves"
"Fitzsimons, Isaac",The Passing Playbook,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Hutchinson, Shaun David",The Past and Other Things That Should Stay Buried,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Friendship, fiction,Future life, fiction"
"Hutchinson, Shaun David",The Past and Other Things That Should Stay Buried,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Friendship, fiction,Future life, fiction"
