Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Tennessee,Blount County Schools,November 2021,Formal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[35.5175, -86.5804]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[31.9686, -99.9018]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[27.9944, -81.7603]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[31.9686, -99.9018]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Virginia,Williamsburg-James City Public Schools,May 2023,Formal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[37.4316, -78.6569]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries,,,,Virginia,Spotsylvania County Public Schools,February 2023,Formal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[37.4316, -78.6569]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Missouri,Willard Public Schools,January 2023,Formal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[38.3566, -92.458]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Virginia,Hanover County Public Schools,June 2023,Informal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[37.4316, -78.6569]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,North Carolina,Pender County Schools,February 2023,Administration,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[35.7596, -79.0193]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,North Dakota,Williston Basin School District #7,September 2022,Informal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[47.5515, -101.002]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Oregon,Canby Public School District,March 2023,Formal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[43.8041, -120.5542]"
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries,,,,Oregon,West Linn-Wilsonville School District,November 2022,Informal Challenge,"Children's fiction,Death,Families,Family life,Family life, fiction,Fiction,Friendship,Friendship, fiction,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews,Jews, united states, fiction,Juvenile fiction,Leukemia,Leukemia, fiction,New York Times bestseller,Pennsylvania, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Schools, fiction,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24",Children's fiction,Death,Families,Family life, fiction,"Fiction,Friendship,General,High school students,High schools,Humorous stories,Independent filmmakers,Jewish teenagers,Jews, united states,Juvenile fiction,Leukemia,New York Times bestseller,Pennsylvania,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Teenagers,Terminally ill,collectionID:ConroeChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,collectionID:bannedbooks,nyt:young-adult=2015-05-24","[43.8041, -120.5542]"
"Saad, Layla F.","Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Banned from Libraries and Classrooms,,,,New York,Somers Central School District,November 2022,Informal Challenge,Unknown,Unknown,,,,,,"[43.0, -75.0]"
"Saad, Layla F.","Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,Unknown,Unknown,,,,,,"[41.2033, -77.1945]"
"Oluo, Ijeoma",Mediocre: The Dangerous Legacy of White Male America,Banned from Libraries and Classrooms,,,,Michigan,Davison Community Schools,August 2022,Informal Challenge,Unknown,Unknown,,,,,,"[44.3467, -85.4102]"
"Burton, Jessie",Medusa,Banned Pending Investigation,,"Gill, Olivia Lomenech",,Missouri,Wentzville School District,September 2022,Legislative Action,Unknown,Unknown,,,,,,"[38.3566, -92.458]"
"Armentrout, Jennifer L.",Meet Cute: Some People Are Destined to Meet,Banned Pending Investigation,"Clayton, Dhonielle; Cotugno, Katie; Davies, Jocelyn; LaCour, Nina; Lord, Emery; McGee, Katharine; Morgan, Kass; Russo, Meredith; Shepard, Sara; Yoon, Nicola; Zoboi, Ibi; Murphy, Julie",,,Texas,Granbury Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Nowinski, Hanna",Meg & Linus,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"Best friends,Children's fiction,Fiction,Friendship, fiction,Gays,High schools,Schools,Schools, fiction",Best friends,Children's fiction,Fiction,Friendship, fiction,"Gays,High schools,Schools","[31.9686, -99.9018]"
"Terciero, Rey","Meg, Jo, Beth, and Amy: A Modern Graphic Retelling of Little Women",Banned in Libraries,"Alcott, Louisa May","Indigo, Bre",,Texas,Katy Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,Unknown,Unknown,,,,,,"[35.4676, -97.5164]"
"Gino, Alex",Melissa (George),Banned from Libraries,,,,Florida,The School District of Palm Beach County,July 2022,Legislative Action,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned from Libraries,,,,Florida,Broward County Public Schools,October 2022,Informal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,Unknown,Unknown,,,,,,"[41.2033, -77.1945]"
"Gino, Alex",Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned from Libraries and Classrooms,,,,Florida,School District of Hamilton County,March 2023,Administration,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned from Libraries,,,,South Carolina,Horry County Schools,November 2022,Informal Challenge,Unknown,Unknown,,,,,,"[33.8361, -81.1637]"
"Gino, Alex",Melissa (George),Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,North Carolina,Pender County Schools,February 2023,Administration,Unknown,Unknown,,,,,,"[35.7596, -79.0193]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Pennsylvania,Pleasant Valley School District,July 2022,Informal Challenge,Unknown,Unknown,,,,,,"[41.2033, -77.1945]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Gino, Alex",Melissa (George),Banned from Libraries and Classrooms,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Nebraska,Plattsmouth Community Schools,April 2023,Formal Challenge,Unknown,Unknown,,,,,,"[41.5378, -99.7951]"
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Duncan, Alice Faye","Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968",Banned Pending Investigation,,"Christie, R. Gregory",,Florida,Duval County Public Schools,January 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Taylor, Jazz",Meow or Never,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,April 2023,Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Picoult, Jodi",Mercy,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,"Adultery,Assisted suicide,Cousins,Euthanasia,Fiction,Fiction, family life, general,Fiction, legal,Large type books,Literature,Married people,Married people, fiction,Massachusetts, fiction,Police,Police chiefs",Adultery,Assisted suicide,Cousins,Euthanasia,Fiction," family life, general, legal,Large type books,Literature,Married people, fiction,Massachusetts,Police,Police chiefs","[27.9944, -81.7603]"
"Picoult, Jodi",Mercy,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Adultery,Assisted suicide,Cousins,Euthanasia,Fiction,Fiction, family life, general,Fiction, legal,Large type books,Literature,Married people,Married people, fiction,Massachusetts, fiction,Police,Police chiefs",Adultery,Assisted suicide,Cousins,Euthanasia,Fiction," family life, general, legal,Large type books,Literature,Married people, fiction,Massachusetts,Police,Police chiefs","[27.9944, -81.7603]"
"Barron, T. A.",Merlin's Dragon,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,"Battles,Children's fiction,Dragons,Dragons, fiction,Fantasy,Fantasy fiction,Father-son relationship,Fathers and sons,Fathers and sons, fiction,Fiction,Fiction, fantasy, general,Good and evil,Identity (Philosophical concept),Juvenile Fiction,Juvenile fiction,Magic,Magic, fiction,Merlin Avalon (Legendary place),Self-sacrifice,Wizards",Battles,Children's fiction,Dragons, fiction,Fantasy,"Fantasy fiction,Father-son relationship,Fathers and sons,Fiction, fantasy, general,Good and evil,Identity (Philosophical concept),Juvenile Fiction,Juvenile fiction,Magic,Merlin Avalon (Legendary place),Self-sacrifice,Wizards","[31.9686, -99.9018]"
"Lowry, Lois",Messenger,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,"Children's fiction,Ciencia-ficción,Community life,Community life, fiction,Curadores,Ficción juvenil,Fiction,Forests and forestry, fiction,Healers,Healing,Health, fiction,Juvenile fiction,Large type books,New York Times reviewed,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Science fiction,Utopias,Utopias, fiction,Vida en comunidad,Villages, fiction",Children's fiction,Ciencia-ficción,Community life, fiction,Curadores,"Ficción juvenil,Fiction,Forests and forestry,Healers,Healing,Health,Juvenile fiction,Large type books,New York Times reviewed,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 6,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Science fiction,Utopias,Vida en comunidad,Villages","[31.9686, -99.9018]"
"de la Peña, Matt",Mexican Whiteboy,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,"Baseball, fiction,California, fiction,Children's fiction,Family, fiction,Fathers and sons, fiction,Identity, fiction,Racially mixed people, fiction,Self-acceptance, fiction",Baseball, fiction,California,Children's fiction,Family,"Fathers and sons,Identity,Racially mixed people,Self-acceptance","[27.9944, -81.7603]"
"Venezia, Mike",Michelangelo (MV),Banned from Libraries,,,,Florida,School District of Manatee County,June 2023,Administration,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Di Cagno, Gabriella",Michelangelo: Master of the Italian Renaissance,Banned Pending Investigation,,,,Missouri,Wentzville School District,September 2022,Legislative Action,Unknown,Unknown,,,,,,"[38.3566, -92.458]"
"Hopkinson, Deborah",Michelle,Banned in Classrooms,,"Ford, A. G.",,Pennsylvania,Central York School District,August 2021,Administrator,"African American women lawyers,African americans, biography,African americans, biography, juvenile literature,Biography,Juvenile literature,Legislators' spouses,Obama, michelle, 1964-,Obama, michelle, 1964-, juvenile literature,Presidents' spouses,Women, biography, juvenile literature,Women, united states, biography",African American women lawyers,African americans, biography, juvenile literature,Biography,"Juvenile literature,Legislators' spouses,Obama, michelle, 1964-,Presidents' spouses,Women, united states","[41.2033, -77.1945]"
"Howard, Greg","Middle School's a Drag, You Better Werk!",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Children's fiction,LGBTQ middle grade",Children's fiction,LGBTQ middle grade,,,,,"[31.9686, -99.9018]"
"Howard, Greg","Middle School's a Drag, You Better Werk!",Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Children's fiction,LGBTQ middle grade",Children's fiction,LGBTQ middle grade,,,,,"[27.9944, -81.7603]"
