Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Orwell, George",1984,Banned from Libraries,,,,Texas,Frisco Independent School District,January 2023,Administration,"British and irish fiction (fictional works by one author),Dystopias,English language,English language, juvenile literature,Fiction,Fiction, dystopian,Fiction, political,Fiction, science fiction, general,High interest-low vocabulary books,Lectures et morceaux choisis,London (england), fiction,Readers,Readers for new literates,Textbooks for foreign speakers,Totalitarianism,Totalitarianism -- Fiction",British and irish fiction (fictional works by one author),Dystopias,English language, juvenile literature,Fiction," dystopian, political, science fiction, general,High interest-low vocabulary books,Lectures et morceaux choisis,London (england), fiction,Readers,Readers for new literates,Textbooks for foreign speakers,Totalitarianism,Totalitarianism -- Fiction","[31.9686, -99.9018]"
"Orwell, George",1984: The Graphic Novel,Banned Pending Investigation,,"Nesti, Fido",,Pennsylvania,Penncrest School District,February 2023,Administration,"Dystopian,Ingsoc,Newspeak,Orwell, george, 1903-1950,thoughtcrime",Dystopian,Ingsoc,Newspeak,Orwell, george," 1903-1950,thoughtcrime","[41.2033, -77.1945]"
"Orwell, George",1984: The Graphic Novel,Banned from Libraries and Classrooms,,"Nesti, Fido",,Missouri,Kirkwood School District,October 2022,Legislative Action,"Dystopian,Ingsoc,Newspeak,Orwell, george, 1903-1950,thoughtcrime",Dystopian,Ingsoc,Newspeak,Orwell, george," 1903-1950,thoughtcrime","[38.3566, -92.458]"
"Verne, Jules","20,000 Leagues Under the Sea (Graphic Novel)",Banned from Libraries,"Bowen, Carl","Ruiz, Jose Alfonso",,Texas,Frisco Independent School District,September 2022,Administration,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Lassieur, Allison",25 Women Who Dared to Go,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"Women, biography,Women, biography, juvenile literature",Women, biography, juvenile literature,,,,"[41.2033, -77.1945]"
"Sherman, Jill",25 Women Who Fought Back,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"Civil rights,Civil rights, juvenile literature,Human rights,Human rights, juvenile literature,Women's rights,Women, political activity",Civil rights, juvenile literature,Human rights,Women's rights,Women, political activity,"[41.2033, -77.1945]"
"Stanborough, Rebecca J.",25 Women Who Ruled,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"Women athletes,Women, biography,Women, biography, juvenile literature",Women athletes,Women, biography, juvenile literature,,,"[41.2033, -77.1945]"
"Sherman, Jill",25 Women Who Thought of It First,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"Women, biography,Women, biography, juvenile literature",Women, biography, juvenile literature,,,,"[41.2033, -77.1945]"
"Rapp, Adam",33 Snowfish,Banned from Libraries and Classrooms,,"Ering, Timothy Basil",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction",Babies,Child sexual abuse, fiction,Children's fiction,Fiction,"Homeless persons,Infants,Juvenile fiction,Middle west,Sexual abuse,Sick","[27.9944, -81.7603]"
"Rapp, Adam",33 Snowfish,Banned from Libraries and Classrooms,,"Ering, Timothy Basil",,Florida,Martin County Schools,March 2023,Formal Challenge,"Babies,Child sexual abuse,Child sexual abuse, fiction,Children's fiction,Fiction,Homeless persons,Homeless persons, fiction,Infants,Juvenile fiction,Middle west, fiction,Sexual abuse,Sick,Sick, fiction",Babies,Child sexual abuse, fiction,Children's fiction,Fiction,"Homeless persons,Infants,Juvenile fiction,Middle west,Sexual abuse,Sick","[27.9944, -81.7603]"
